Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Flight Number,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,Photo 3,,,,,,,,,,,,,,,,
29-Aug-11,Snakes,Munich Airport,"Munich, Germany","Sydney, Australia",,"Munich, Germany",,36,,,Luggage,Routine check,,"The suspect is an Australian man aged 22 who was returning to Munich from Syndy, he was arrested; the pythons were white and 30cm long on average, rare specimens",http://www.aeronautique.ma/Aeroport-de-Munich-36-serpents-dans-les-bagages-d-un-passager-australien_a2190.html,,,,,,,,,,,,,,,,,,,
3-Sep-11,Angonoky Spur Turtles,Mahajanga-Amborovy Airport,"Mahajanga, Madagascar","Mahajanga, Madagascar",,"Bangkok, Thailand",,93,,,Luggage,X-ray,Wrapped in baby diapers in small plastic baskets,"92 baby turtles, 1 adult; name of Nivolalao (I think); during routine search","http://www.madagascar-tribune.com/93-tortues-interceptees-a-l,16357.html",,,,,,,,,,,,,,,,,,,
20-Oct-11,Sea Turtle Eggs,Bush Interncontinental Airport,"Houston, USA",El Salvador,,"Houston, USA",,12,,,Luggage,,,Eggs were turned over to U.S. fish and Wildlife Service and sent to undergo DNA analysis,https://www.cbp.gov/newsroom/local-media-release/2011-10-20-040000/cbp-Houston-prohibit-eggs-endangered-sea-turtle,,,,,,,,,,,,,,,,,,,
7-Nov-11,Indian Star Tortoises; snakes,Soekarno Hatta Airport,"Jakarta, Indonesia",India,"Bangkok, Thailand","Jakarta, Indonesia",,80,,,Passenger - Clothing/Items,,,"75 Indian Star Tortoises (CITES II) and ""Various snakes"" found in the possession of an Indonesian woman returning from Bangkok. 28 tortoises died - 27 were already dead when she was stopped. 19 tortoises later repatriated to India. One source claims there were only 47 tortoises total.",TRAFFIC Bulletin 1997 - 2016 ; http://empowerednews.net/indian-star-tortoises-sent-home/1821229/,,,,,,,,,,,,,,,,,,,
1-Dec-11,Graceful Chameleons,,United Kingdom,Ghana,United Kingdom,Japan,,95,,,Unknown,,,Graceful Chameleons (CITES II),https://cites.org/sites/default/files/eng/com/sc/62/Inf/E62i-03.pdf,,,,,,,,,,,,,,,,,,,
7-Dec-11,Lizards; snakes,Buenos Aires Airport,"Buenos Aires, Argentina","Buenos Aires, Argentina",Spain,"Prague, Czech Republic",,247,Iberia Airlines,,Luggage,X-ray,,"10 Boa Constrictors, poisonous pit vipers, coral snakes, lizards and spiders. Animals were labeled by latin name in Various plastic containers, bags and socks. Several specimens died prior to discovery. A Czech national was arrested and charged. He is believed to be part of a larger smuggling ring due to his short stay in Argentina and the large number and variety of specimens from across South America; suspect named as Karel Abelovsky, 51",http://www.csmonitor.com/World/Americas/2011/1228/Snakes-on-a-plane-almost-in-Argentina https://solarsy.wordpress.com/2011/12/29/les-serpents-venimeux-dans-les-bagages-a-laeroport-de/,,,,,,,,,,,,,,,,,,,
11-Dec-11,Sea Turtle Eggs,Bush Interncontinental Airport,"Houston, USA",El Salvador,,"Houston, USA",,25,,,Luggage,,,"While species were unspecified, all were described as endangered. Eggs were turned over to U.S. Fish and Wildlife Service.",https://www.cbp.gov/newsroom/local-media-release/2011-12-13-050000/cbp-seizes-endangered-sea-turtle-eggs-Houston,,,,,,,,,,,,,,,,,,,
3-Jan-12,Hawksbill; Green Turtles,Puerto Princesa Airport,"Puerto Princesa, Philippines",,,"Puerto Princesa, Philippines",91,40,,,Airfreight,,,"Four boxes of pangolin scales (CITES II) and four boxes of shells from about 40 Green and Hawkville turtles (both CITES I). Boxes were signed by ""Novelito Rendon"", and were destined to be delivered to ""Renato Aloyan"" in Taboan, Cebu City ",TRAFFIC Bulletin 1997 - 2016; http://webcache.googleusercontent.com/search?q=cache:fDGVgUt_j1MJ:news.abs-cbn.com/nation/regions/01/03/12/anteater-scales-turtle-shells-seized-palawan+&cd=1&hl=en&ct=clnk&gl=us http://www.pangolins.org/2012/01/04/philippines-pangolin-scales-and-flesh-seized-at-airport/,,,,,,,,,,,,,,,,,,,
4-Jan-12,Chameleons,Zaventem Airport,"Brussels, Belgium","Entebbe, Uganda","Brussels, Belgium",Germany,,204,,,Unknown,,,The permits required by CITES had been issues but the authorized for export quota was exceeded by 14 units in this case; a quarter of the animals are in poor health and 7 had already died,http://www.rtbf.be/info/societe/detail_plus-de-200-cameleons-saisis-a-l-aeroport-de-bruxelles?id=7343803,,,,,,,,,,,,,,,,,,,
22-Jan-12,Turtles,Jomo Kenyatta Airport,"Nairobi, Kenya","Antananarivo, Madagascar","Nairobi, Kenya","Hanoi, Vietnam",400g each,2,,,Passenger - Clothing/Items,The Kenyan Customs officers noticed that the two individuals walked funny,Pants,"The men are Malagasy nationals, the men were brought to trial 3 ays after the arrest; suspects said they were a wedding gift; they were fined by the court ",http://www.matin.mg/?p=23137,,,,,,,,,,,,,,,,,,,
22-Jan-12,Spur-Thighed Tortoises,Malta Airport,"Luqa, Malta",,,,,15,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-12,Pig-Nosed Turtles,Mopah Airport,"Merauke, Indonesia",,,"Jakarta, Indonesia",,1500,,,Luggage,,,Pig-Nosed Turtles (CITES II) in two suitcases,TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
8-Feb-12,Pig-Nosed Turtles,Mopah Airport,"Merauke, Indonesia",,,,,690,,,Luggage,,,690 juveniles. Living turtles from this and previous ^ seizure were released into the wild. 218 of the turtles died in quarantine,TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
1-Apr-12,Saltwater Crocodiles,Dubai Airport,"Dubai, UAE",Australia,,"Dubai, UAE",,1,,,Unknown,,,Saltwater Crocodile (CITES II),https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
1-Apr-12,Spur-Thighed Tortoises,Dubai Airport,"Dubai, UAE",Syria,,"Dubai, UAE",,500,,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,
