Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Flight Number,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,Photo 3,,,,,,,,,,,,,,,,
3-Feb-16,Green Tree Pythons; Argentine Red Tegus; Indian Star Tortoises,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Hong Kong, China",,15,Cathay Pacific,,Luggage,,,"Green Tree pythons (CITES II), Argentine Red Tegu (CITES II), Indian star tortoise (CITES II) were in the posssession of a Chinese national who had purchased the animals at Pasar Pramuka, an exotic bird and animal market in Jakarta.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_12.pdf,,,,,,,,,,,,,,,,,,,
6-Feb-16,Tortoises,Allama Iqbal Airport,"Lahore, Pakistan","Lahore, Pakistan",,"Colombo, Sri Lanka",,22,,,Luggage,,,"A Chinese national was arrested carrying the tortoises, 3,750 pakistani Rupees, $1,000, and 300 yuan",http://www.pakistantoday.com.pk/2016/02/06/city/lahore/wildlife-dept-foils-bid-to-smuggle-22-tortoises/,,,,,,,,,,,,,,,,,,,
12-Feb-16,Black Pond Turtles,Shahjahal Airport,"Dhaka, Bangladesh",,,,,30,Malaysian Airlines,,Luggage,Movement deteted in luggage,,"Black pond turtles (CITES I) three arrests three Malaysian airlines employees, one luggage inspector is also suspected but fled. ",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_12.pdf; http://www.thedailystar.net/backpage/30-turtles-seized-shahjalal-airport-510706,,,,,,,,,,,,,,,,,,,
15-Feb-16,Pig-Nosed Turtles,Timika Airport,"Timika, Indonesia","Timika, Indonesia","Jayapura, Indonesia","Jakarta, Indonesia",,3230,Sriwijaya Air,,Luggage,X-ray,Boxes in Luggage,Pig-nosed turtles (CITES II). The turtles were packed into boxes which were placed inside 4 suitcases and brought in through an older entrance to the airport which lacks an X-ray machine. ,TRAFFIC Bulletin 1997 - 2016; http://tabloidjubi.com/eng/police-seize-thousnds-of-pig-nosed-turtles-in-timika/,,,,,,,,,,,,,,,,,,,
21-Feb-16,Pig-Nosed Turtles; snake neck turtles,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Hong Kong, China",,4620,,,Airfreight,,,Pig-nosed turtles (CITES II). The turtles were concealed in 38 boxes. Customs officers noticed a change in boxes that they had already inspected and reinspected.,TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
23-Feb-16,Crocodiles; pythons,Bologna Guglielmo Marconi Airport,"Bologna, Italy",Guinea,Morocco,"Bologna, Italy",,21,,,Luggage,,,"Crocodile (CITES I/II), Python (CITES II). The luggage was being carried by a Senegalese man. The man was fined 30,000 Euros",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_12.pdf,,,,,,,,,,,,,,,,,,,
25-Feb-16,Mata Mata Turtles,Alfredo Vásquez Cobo Airport,"Leticia, Colombia","Leticia, Colombia",,USA,,551,,,Airfreight,,,551 Mata Mata Turtles were discovered in a shipment at the Alfredo Vásquez airport in Colombia. A number of the turtles had died and were sent off for DNA analysis to identify their origin. They were linked to a species that lives in Puerto Carreño. The shipment was likely destined for the USA through Central America.,http://www.noticias24.com/internacionales/noticia/113071/mas-de-400-tortugas-incautadas-en-la-amazonia-de-colombia-fueron-devueltas-a-su-habitat/,,,,,,,,,,,,,,,,,,,
8-Mar-16,Chameleons; Geckos,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",Turkey,Russia,,140,Turkish Airlines,TK 0161,Luggage,,,Chameleons (CITES I/II) and Geckos (CITES II). The luggage belonged to a Russian national. ,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_12.pdf http://www.douanes.gov.mg/actualites/aeroport-divato-140-cameleons-saisis-douane,,,,,,,,,,,,,,,,,,,
9-Mar-16,Green Tree Pythons,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Kuala Lumpur, Malaysia",,3,Cathay Pacific,,Luggage,,,Green Tree pythons (CITES II) were seized from the luggage of 2 Malay nationals.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_12.pdf,,,,,,,,,,,,,,,,,,,
11-Mar-16,Black Spotted Turtles,Faisalabad Airport,"Faisalabad, Pakistan","Faisalabad, Pakistan","Doha, Qatar",Malaysia,,45,,,Luggage,,,Black Spotted Turtles (CITES I); Black pond turtles (CITES I) were captured in Lahore according too the trafficker based in Karachi. One arrest. The trafficker is an exporter of dried fish and canned vegetables. ,TRAFFIC Bulletin 1997 - 2016; http://arynews.tv/en/wwf-pakistan-appreciates-leas-for-foiling-turtles-smuggling-bid/; http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_12.pdf,,,,,,,,,,,,,,,,,,,
18-Mar-16,Pythons; Crocodiles,Lyon–Saint-Exupéry Airport,"Lyon, France",Ivory Coast,Tunisia,"Lyon, France",,2,,,Luggage,,,"The suspect is a man and Cote d'Ivoire national about 50 years old, said he was a collector and the items were for personal use; all these endangered species are protected under CITES",http://www.leprogres.fr/lyon/2016/03/18/des-peaux-de-pythons-et-de-crocodile-interceptees-a-l-aeroport-cqdo,,,,,,,,,,,,,,,,,,,
20-Mar-16,Radiated Tortoises; ploughshare tortoises,Chatrapati Shivaji Airport,"Mumbai, India",Madagascar,"Mumbai, India","Kathmandu, Nepal",,146,,,Luggage,,,"Ploughshare Tortoises (CITES I) Radiated Tortoises (CITES I). Traveller continued onto Kathmandu, Nepal, leaving the bag behind.The bag went undiscovered for a week, during which time two of the 139 radiated tortoises died.",TRAFFIC Bulletin 1997 - 2016; http://www.bbc.com/news/world-asia-india-35859966,,,,,,,,,,,,,,,,,,,
1-Apr-16,Cobras,Cairo Airport,"Cairo, Egypt","Cairo, Egypt",,,,60,,,Airfreight,X-ray,,"Total of 6 bags filled with cobras found; they were in 2 polystyrene boxes with ice to limit the movement of snakes, whose mouths were sutured with surgical thread",http://www.ifaw.org/france/actualites/a%C3%A9roport-du-caire-un-trafic-de-cobras-intercept%C3%A9-gr%C3%A2ce-%C3%A0-nos-formations,,,,,,,,,,,,,,,,,,,
27-Apr-16,Abronia Arboreal Alligator Lizards; milk snakes,Quetzalcoatl Airport,"Nuevo Laredo, Mexico","Mexico City, Mexico",,"Nuevo Laredo, Mexico",,32,,,Airfreight,,,"Shipper was located in Nezahualcoyotl, State of Mexico. ",https://webcache.googleusercontent.com/search?q=cache:quz-Gk2sIqsJ:www.liberal.com.mx/2016/04/27/incautan-32-reptil-en-aeropuerto-de-tamaulipas/+&cd=1&hl=en&ct=clnk&gl=us; http://www.diariodemexico.com.mx/recuperan-29-lagartos-3-culebras-enviadas-paqueteria-nuevo-laredo/,,,,,,,,,,,,,,,,,,,
9-May-16,Pyxis Tortoises; Ploughshare Tortoises; Radiated Tortoises,Plaisance Airport,"Port Louis, Mauritius",Madagascar,"Port Louis, Mauritius",Singapore,,130,Air Mauritius,,Luggage,,,"Subject denied containing the tortoises, subject of a deportation order",http://agir.avec.madagascar.over-blog.com/2016/05/maurice-130-tortues-malgaches-saisies-a-l-aeroport-de-plaisance.html; http://www.topfmradio.com/media-center/news/saisie-de-119-tortues-endemiques-bord-dair-mauritius-information-erronee-dans-la-presse-malgache,,,,,,,,,,,,,,,,,,,
4-Jul-16,Angonoka Turtles; Radiated Tortoises; Turtles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",Singapore,"Shanghai, China",,119,Air Mauritius,,Luggage,X-ray,,"Turtles were hidden in two bags back-to-back, with a layer of plastic film between them all so they couldn't move; suspect was a Malagasy national, he fled, abandoning his luggage (unclear as to why); authorities know the name of the fugitive; subject is named Clement A",http://agir.avec.madagascar.over-blog.com/2016/07/ivato-cent-dix-neuf-tortues-saisies.html; http://www.sobikamada.com/fil-info/item/8763-a%C3%A9roport-ivato-saisie-de-119-tortues.html; http://www.newsmada.com/2016/07/19/trafic-des-ressources-naturelles-260-bebes-tortues-saisis-a-ivato/,,,,,,,,,,,,,,,,,,,
18-Jul-16,Turtles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar","Nairobi, Kenya","Bangkok, Thailand; Hong Kong, China",,260,Kenya Airways,,Luggage,x-ray,,,http://www.newsmada.com/2016/07/19/trafic-des-ressources-naturelles-260-bebes-tortues-saisis-a-ivato/,,,,,,,,,,,,,,,,,,,
29-Aug-16,Turtles,Chennai Airport,"Chennai, India",China,"Kuala Lumpur, Malaysia","Chennai, India",,4000,,,Luggage,,,"Mohamed Habib, a native of Ramanathapuram, tried to smuggle in the tortoises in his suitcase. “Around 4,000 tortoises, all sized about one inch each, were dumped in a suitcase two feet in length and one and half feet in breadth. The passenger tried to smuggle the tortoises from Malaysia,” said an official. The officer also said that the man tried to smuggle the same species of tortoises 26 days ago, but his attempt had failed.",http://www.newindianexpress.com/cities/chennai/Officials-seize-4000-live-baby-tortoises-at-Chennai-airport/2016/08/29/article3601803.ece,,,,,,,,,,,,,,,,,,,
