Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,,,,,,,,,,,,,,,,,,
12/??/2011,Falcons,Dubai Airport,"Dubai, UAE",,,"Dubai, UAE",,1,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
12/8/2011,Partridges,Manchester Airport,"Manchester, United Kingdom",Pakistan,,"Manchester, United Kingdom",,3,,Luggage,,,The three birds were in individual boxes and survived the trip. One arrest,http://www.manchestereveningnews.co.uk/news/local-news/smuggler-hid-three-partridges-in-cardboard-877822,,,,,,,,,,,,,,,,,,,,
12/13/2011,Birds; Cardinals; Goldfinches,Charles de Gaulle Airport,"Paris, France",Mexico,,"Paris, France",,100,,Unknown,,,"The birds were euthanized by the customs officials at the Roissy airport; ""frozen alive""",http://www.univers-nature.com/actualite/societe-lois-politique/des-oiseaux-congeles-vivants-a-l%C2%92aeroport-de-roissy-57574.html,,,,,,,,,,,,,,,,,,,,
1/??/2012,Falcons,Abu Dhabi Airport,"Abu Dhabi, UAE",Qatar,,"Abu Dhabi, UAE",,1,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
1/??/2012,Houbara Bustards,Abu Dhabi Airport,"Abu Dhabi, UAE",Qatar,,"Abu Dhabi, UAE",,2,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
1/15/2012,Toucans; hawks,Tijuana Airport,"Tijuana, Mexico",,,"Tijuana, Mexico",,20,,Unknown,,,"The were brought into Tijuana on a private plane allegedly carried by 4 body guards of former mayor Jorge Hank Rhon, and destined for his private zoo at the Caliente Race Track. 4 arrests. Hank Rhon had previously been linked to wildlife trafficking on a pair of occasions.",http://www.sandiegored.com/noticias/21872/Four-detained-with-20-exotic-birds-at-Tijuana-airport/,,,,,,,,,,,,,,,,,,,,
1/17/2012,Senegal Parrots,Bussels Airport,"Brussels, Belgium",Morocco,,"Brussels, Belgium",,15,,Luggage,,,The birds were euthanized,https://cites.org/sites/default/files/reports/11-12Belgium.pdf,,,,,,,,,,,,,,,,,,,,
1/23/2012,Atlantic Canaries,Tenerife South Airport,"Tenerife, Canary Islands","Tenerife, Canary Islands",,"Madrid, Spain",,30,,Luggage,Scanner,,"Birds were inside a pouch in the passenger's carry on, wrapped in clothes. Birds had been captured in Canary Islands municipality of Arafo. The brids were intennded for sale.",http://www.laprovincia.es/sucesos/2012/01/25/incautados-30-canarios-silvestres-maleta/433391.html,http://fotos00.laprovincia.es/fotos/noticias/318x200/2012-02-01_IMG_2012-01-24_23.25.28__6043514.jpg,,,,,,,,,,,,,,,,,,,
2/28/2012,Chickens; Canaries; Budgerigars,Malta Airport,"Luqa, Malta","Luqa, Malta",,Libya,,35,,Luggage,X-ray,,Noise was heard coming from the baggage so it was x-rayed. The birds were smuggled by a Libyan residing in Malta,http://www.maltatoday.com.mt/news/national/16413/smuggled-birds-get-radiation-dose-by-airport-security-20120228,,,,,,,,,,,,,,,,,,,,
2/28/2012,King parrots; Green winged macaws; Birds,Brussles Airport,"Brussels, Belgium","Brussels, Belgium",,Morocco,,67,undisclosed Moroccan company,Luggage,Papers were used previously,,67 birds born in captivity; mostly king parrots (royal parakeet?); the birds traveled with documents that had previously been used for birds,http://www.dhnet.be/archive/67-oiseaux-saisis-a-l-aeroport-de-zaventem-51b7e26ce4b0de6db993f018,,,,,,,,,,,,,,,,,,,,
3/1/2012,Budgerigarw,Val-de-cans Airport,"Belem, Brazil","Fortaleza, Brazil",,"Belem, Brazil",,80,Gol Transportes Aereos,Airfreight,,,"The birds were bound for a pet store in São Brás. The senders were fined and were going to court. The airline reported the shipment, and the airline may face a fine for not reporting fast enough.",http://www.ibama.gov.br/publicadas/ibama-apreende-80-periquitos-em-situacao-de-maus-tratos-no-aeroporto-de-belem,,,,,,,,,,,,,,,,,,,,
